BasalACh2_amici,BasalACh2_copasi,BasalACh2_tellurium,IntermediateACh_amici,IntermediateACh_copasi,IntermediateACh_tellurium,ActiveACh_amici,ActiveACh_copasi,ActiveACh_tellurium,Active_amici,Active_copasi,Active_tellurium,BasalACh_amici,BasalACh_copasi,BasalACh_tellurium,Basal_amici,Basal_copasi,Basal_tellurium,DesensitisedACh2_amici,DesensitisedACh2_copasi,DesensitisedACh2_tellurium,Desensitised_amici,Desensitised_copasi,Desensitised_tellurium,IntermediateACh2_amici,IntermediateACh2_copasi,IntermediateACh2_tellurium,DesensitisedACh_amici,DesensitisedACh_copasi,DesensitisedACh_tellurium,Intermediate_amici,Intermediate_copasi,Intermediate_tellurium,ActiveACh2_amici,ActiveACh2_copasi,ActiveACh2_tellurium
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.66057788110262e-05,1.6605778811026203e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.691286014795964e-08,7.691277301413734e-08,3.2591228256080993e-06,1.0070803530684171e-05,1.0070810831737964e-05,3.2591228256080993e-06,3.259133452818238e-06,3.259129758378179e-06,3.2591228256080993e-06,3.259133452818238e-06,3.259129758378179e-06,3.2591228256080993e-06,8.372740228653361e-07,8.372730755201249e-07,3.2591228256080993e-06,2.2394358303064144e-06,2.2394332969957755e-06,3.2591228256080993e-06,2.9042278593817522e-08,2.9042245415626214e-08,3.2591228256080993e-06,1.5490055091793664e-10,1.5490037395612282e-10,3.2591228256080993e-06,1.0070803530684171e-05,1.0070810831737964e-05,3.2591228256080993e-06,1.5490055091793664e-10,1.5490037395612282e-10,3.2591228256080993e-06,7.2460258433515e-11,7.246030918671488e-11,3.2591228256080993e-06,3.259133452818238e-06,3.259129758378179e-06,3.2591228256080993e-06
3.521840792166674e-08,3.521841973635358e-08,1.4971247356097507e-06,1.3493446538572341e-05,1.3493445550324987e-05,1.4971247356097507e-06,1.4971372301898482e-06,1.4971377329906642e-06,1.4971247356097507e-06,1.4971372301898482e-06,1.4971377329906642e-06,1.4971247356097507e-06,3.812143943422396e-07,3.812145219186045e-07,1.4971247356097507e-06,1.0188075144089027e-06,1.0188078552206054e-06,1.4971247356097507e-06,8.951668027619204e-08,8.951668476660447e-08,1.4971247356097507e-06,4.774251224092927e-10,4.774251463597497e-10,1.4971247356097507e-06,1.3493446538572341e-05,1.3493445550324987e-05,1.4971247356097507e-06,4.774251224092927e-10,4.774251463597497e-10,1.4971247356097507e-06,9.623626579244582e-11,9.62362589203832e-11,1.4971247356097507e-06,1.4971372301898482e-06,1.4971377329906642e-06,1.4971247356097507e-06
2.1298384689154476e-08,2.129844320184114e-08,9.088576234842367e-07,1.4585584437738622e-05,1.4585579549515437e-05,9.088576234842367e-07,9.08853634807141e-07,9.088561315656193e-07,9.088576234842367e-07,9.08853634807141e-07,9.088561315656193e-07,9.088576234842367e-07,2.2896764078461136e-07,2.2896826949644348e-07,9.088576234842367e-07,6.113288062637883e-07,6.11330484601358e-07,9.088576234842367e-07,1.6022196144385054e-07,1.6022198365328672e-07,9.088576234842367e-07,8.545181012354633e-10,8.54518219693078e-10,9.088576234842367e-07,1.4585584437738622e-05,1.4585579549515437e-05,9.088576234842367e-07,8.545181012354633e-10,8.54518219693078e-10,9.088576234842367e-07,1.0381528251474091e-10,1.0381524853047755e-10,9.088576234842367e-07,9.08853634807141e-07,9.088561315656193e-07,9.088576234842367e-07
1.6621648951694828e-08,1.6621677716974242e-08,7.111883189357055e-07,1.4902373919037313e-05,1.4902371537580751e-05,7.111883189357055e-07,7.111799356645524e-07,7.111811866388387e-07,7.111883189357055e-07,7.111799356645524e-07,7.111811866388387e-07,7.111883189357055e-07,1.7782928884827733e-07,1.7782958685521135e-07,7.111883189357055e-07,4.7446486542523483e-07,4.744656565863092e-07,7.111883189357055e-07,2.3409205494659803e-07,2.340920657601604e-07,7.111883189357055e-07,1.2484913160821885e-09,1.2484913737525071e-09,7.111883189357055e-07,1.4902373919037313e-05,1.4902371537580751e-05,7.111883189357055e-07,1.2484913160821885e-09,1.2484913737525071e-09,7.111883189357055e-07,1.0600567021016807e-10,1.0600565383893926e-10,7.111883189357055e-07,7.111799356645524e-07,7.111811866388387e-07,7.111883189357055e-07
1.502120421451452e-08,1.5021214291168517e-08,6.435103085808202e-07,1.4961355942452102e-05,1.496135506232231e-05,6.435103085808202e-07,6.435066176377245e-07,6.435070829793058e-07,6.435103085808202e-07,6.435066176377245e-07,6.435070829793058e-07,6.435103085808202e-07,1.6034112095960943e-07,1.6034123169941634e-07,6.435103085808202e-07,4.27664998073867e-07,4.276652861175767e-07,6.435103085808202e-07,3.087765759821725e-07,3.0877658000883437e-07,6.435103085808202e-07,1.6468085560669975e-09,1.6468085785466144e-09,6.435103085808202e-07,1.4961355942452102e-05,1.496135506232231e-05,6.435103085808202e-07,1.6468085560669975e-09,1.6468085785466144e-09,6.435103085808202e-07,1.0640434590395736e-10,1.0640432598227801e-10,6.435103085808202e-07,6.435066176377245e-07,6.435070829793058e-07,6.435103085808202e-07
1.4444730719045938e-08,1.4444730229834699e-08,6.191084480897815e-07,1.4934762249608045e-05,1.4934762314710144e-05,6.191084480897815e-07,6.191052284900247e-07,6.191052615934818e-07,6.191084480897815e-07,6.191052284900247e-07,6.191052615934818e-07,6.191084480897815e-07,1.5405366253203032e-07,1.5405364389068771e-07,6.191084480897815e-07,4.1084359342362977e-07,4.108435291887856e-07,6.191084480897815e-07,3.8349447120592284e-07,3.834944709980293e-07,6.191084480897815e-07,2.0453039287094716e-09,2.0453039304899816e-09,6.191084480897815e-07,1.4934762249608045e-05,1.4934762314710144e-05,6.191084480897815e-07,2.0453039287094716e-09,2.0453039304899816e-09,6.191084480897815e-07,1.0620832247820871e-10,1.0620827111989375e-10,6.191084480897815e-07,6.191052284900247e-07,6.191052615934818e-07,6.191084480897815e-07
1.420923349611699e-08,1.4209225972633855e-08,6.091150883667959e-07,1.4879909005310559e-05,1.4879909614987225e-05,6.091150883667959e-07,6.091132590727431e-07,6.091129590693106e-07,6.091150883667959e-07,6.091132590727431e-07,6.091129590693106e-07,6.091150883667959e-07,1.5149591516357988e-07,1.5149583522739884e-07,6.091150883667959e-07,4.040046601156415e-07,4.0400444183921757e-07,6.091150883667959e-07,4.5798694029300146e-07,4.5798693754656203e-07,6.091150883667959e-07,2.4425970742118848e-09,2.4425970604151975e-09,6.091150883667959e-07,1.4879909005310559e-05,1.4879909614987225e-05,6.091150883667959e-07,2.4425970742118848e-09,2.4425970604151975e-09,6.091150883667959e-07,1.0581594786783581e-10,1.0581593991857831e-10,6.091150883667959e-07,6.091132590727431e-07,6.091129590693106e-07,6.091150883667959e-07
1.4087416945581294e-08,1.4087403438058529e-08,6.039311910084737e-07,1.4815869476168242e-05,1.481587060959743e-05,6.039311910084737e-07,6.039254823381576e-07,6.039249113726218e-07,6.039311910084737e-07,6.039254823381576e-07,6.039249113726218e-07,6.039311910084737e-07,1.5018158692758196e-07,1.5018143924799244e-07,6.039311910084737e-07,4.004936831254444e-07,4.0049328788169197e-07,6.039311910084737e-07,5.321689788274386e-07,5.321689736763766e-07,6.039311910084737e-07,2.8382346052724495e-09,2.8382345778009992e-09,6.039311910084737e-07,1.4815869476168242e-05,1.481587060959743e-05,6.039311910084737e-07,2.8382346052724495e-09,2.8382345778009992e-09,6.039311910084737e-07,1.053597813042364e-10,1.0535978917355787e-10,6.039311910084737e-07,6.039254823381576e-07,6.039249113726218e-07,6.039311910084737e-07
1.4003638458293087e-08,1.4003634440691377e-08,6.003483428642743e-07,1.47489900130575e-05,1.4748990349902822e-05,6.003483428642743e-07,6.003453358733892e-07,6.003451659239624e-07,6.003483428642743e-07,6.003453358733892e-07,6.003451659239624e-07,6.003483428642743e-07,1.492832550928377e-07,1.4928321122359613e-07,6.003483428642743e-07,3.980960806966308e-07,3.980959633553734e-07,6.003483428642743e-07,6.06013414913945e-07,6.060134133823701e-07,6.003483428642743e-07,3.2320715949939456e-09,3.2320715868049812e-09,6.003483428642743e-07,1.47489900130575e-05,1.4748990349902822e-05,6.003483428642743e-07,3.2320715949939456e-09,3.2320715868049812e-09,6.003483428642743e-07,1.0488392976855175e-10,1.0488393252383007e-10,6.003483428642743e-07,6.003453358733892e-07,6.003451659239624e-07,6.003483428642743e-07
